SYMBOL,SUM_TTL_TRD_QNTY,SUM_DELIV_QTY
ADANIENT,8782443,3253306
ADANIPORTS,17614408,7830654
APOLLOHOSP,2364761,1491332
ASIANPAINT,8571756,4717748
AXISBANK,33784809,21456816
BAJAJ-AUTO,1667613,861149
BAJAJFINSV,9183371,5347946
BAJFINANCE,38692136,21874704
BEL,171439794,70130892
BHARTIARTL,66432677,42075572
CIPLA,7617969,3978224
COALINDIA,74577600,31462721
DRREDDY,6019617,2905277
EICHERMOT,2516410,1373088
ETERNAL,284587059,146844222
GRASIM,5288889,3196149
HCLTECH,11429033,5792219
HDFCBANK,182384399,96496625
HDFCLIFE,19858117,12219145
HINDALCO,43551044,19292827
HINDUNILVR,10620731,6073252
ICICIBANK,94235841,50586970
INDIGO,14007926,6782385
INFY,53642110,23939922
ITC,109780389,63007728
JIOFIN,77038317,37693821
JSWSTEEL,7737108,3064172
KOTAKBANK,81343074,52722214
LT,28095258,14857474
M&M,14921638,9100178
MARUTI,2757133,1532673
MAXHEALTH,16433535,9590529
NESTLEIND,5202250,2706697
NTPC,71997285,42185648
ONGC,256704448,108373327
POWERGRID,94927261,60765834
RELIANCE,125221954,64287882
SBILIFE,5799140,3388602
SBIN,88830728,54604489
SHRIRAMFIN,35855244,21422717
SUNPHARMA,20024213,13276919
TATACONSUM,6246340,3314760
TATASTEEL,202728010,74403633
TCS,17154483,8811477
TECHM,7192784,3243459
TITAN,3837157,1852774
TMPV,58846846,30113393
TRENT,3494468,1631583
ULTRACEMCO,1451254,758614
WIPRO,62708002,27055666
